,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CLD,SCL,mtwara_cluster,datetime,day of year,month,ndvi,target,year,evi
5032,0.151075,0.442675,0.3307,0.15175,0.180175,0.190725,0.261325,0.3468,0.376475,0.3812,0.4161750000000001,0.415425,0.0,4.25,Mtwara DC 01-11,2022-11-13 07:42:50,317.0,11.0,0.3714780029658923,1.0,2022.0,0.49874456623933994
5033,0.1609499999999999,0.4818249999999999,0.3689,0.16475,0.19435,0.202975,0.285525,0.3823,0.42415,0.4254,0.468325,0.462875,0.0,4.25,Mtwara DC 01-11,2022-11-18 07:42:47,322.0,11.0,0.3952778191568598,1.0,2022.0,0.5699771235863342
5034,0.1452,0.463325,0.360125,0.152975,0.1849,0.197775,0.275425,0.3576750000000001,0.401375,0.4073,0.437325,0.43395,0.0,4.25,Mtwara DC 01-11,2022-11-28 07:42:46,332.0,11.0,0.37718469532357113,1.0,2022.0,0.5250238348328274
5035,0.149975,0.48545,0.35905,0.154225,0.190925,0.199375,0.282875,0.377975,0.4199,0.4293,0.466925,0.4502,0.0,4.25,Mtwara DC 01-11,2022-12-03 07:42:47,337.0,12.0,0.4015458502176196,1.0,2022.0,0.5727343758361964
5036,0.1618,0.456375,0.3542499999999999,0.16515,0.189025,0.196,0.27325,0.345325,0.387725,0.39235,0.43145,0.4228499999999999,0.0,4.25,Mtwara DC 01-11,2022-12-08 07:42:43,342.0,12.0,0.3752490238265997,1.0,2022.0,0.5174952745175612
5429,0.166725,0.4704,0.3597999999999999,0.17395,0.190875,0.2057749999999999,0.258175,0.319175,0.35855,0.3639,0.390775,0.40645,0.0,4.5,Mtwara DC 01-11,2022-10-09 07:42:45,282.0,10.0,0.3101165032268881,1.0,2022.0,0.427404729175571
5430,0.1551,0.0,0.368125,0.16105,0.1786499999999999,0.19255,0.2414,0.2961249999999999,0.324775,0.3344499999999999,0.0,0.0,0.0,4.5,Mtwara DC 01-11,2022-10-19 07:42:46,292.0,10.0,-1.0,1.0,2022.0,-0.6768727809610856
5431,0.1683,0.4670499999999999,0.3475999999999999,0.163525,0.189175,0.2012,0.264025,0.325175,0.3546749999999999,0.36635,0.3919,0.39335,0.0,4.5,Mtwara DC 01-11,2022-11-03 07:42:51,307.0,11.0,0.3215309391333671,1.0,2022.0,0.43734519768828556
5432,0.160575,0.466075,0.3655,0.162125,0.187625,0.2027,0.261825,0.332375,0.361925,0.38075,0.393575,0.39205,0.0,4.5,Mtwara DC 01-11,2022-11-08 07:42:46,312.0,11.0,0.32011236426145656,1.0,2022.0,0.4379775590280168
5433,0.154725,0.434875,0.3354749999999999,0.1517,0.1733,0.189875,0.2455,0.2961,0.32,0.3397,0.355375,0.35335,0.0,4.5,Mtwara DC 01-11,2022-11-13 07:42:50,317.0,11.0,0.3035304906006419,1.0,2022.0,0.3864790705820539
5434,0.149075,0.4409,0.363075,0.15165,0.176875,0.19235,0.24775,0.30055,0.330075,0.3542,0.36145,0.3665,0.0,4.5,Mtwara DC 01-11,2022-11-28 07:42:46,332.0,11.0,0.30534488985193214,1.0,2022.0,0.3940163571545076
5435,0.146075,0.39915,0.33255,0.15165,0.172,0.182225,0.2317499999999999,0.2966,0.316275,0.3173499999999999,0.3395249999999999,0.36155,0.0,4.5,Mtwara DC 01-11,2022-12-28 07:42:46,362.0,12.0,0.3014853857211307,1.0,2022.0,0.36883756374934035
5436,0.17115,0.41825,0.316175,0.15795,0.18155,0.2027,0.25705,0.328975,0.3611999999999999,0.3484,0.3954,0.4138,0.0,4.5,Mtwara DC 01-11,2022-10-14 07:42:51,287.0,10.0,0.32218692526333387,1.0,2022.0,0.4414257570898428
5437,0.15255,0.0,0.3798,0.160175,0.1891,0.2192,0.276575,0.356175,0.390875,0.40675,0.0,0.0,0.0,4.5,Mtwara DC 01-11,2022-10-19 07:42:46,292.0,10.0,-1.0,1.0,2022.0,-0.8164481525625749
5438,0.166425,0.537975,0.42135,0.174,0.21135,0.24905,0.3200499999999999,0.4133,0.4574249999999999,0.4709,0.4992499999999999,0.466375,0.0,4.5,Mtwara DC 01-11,2022-10-29 07:42:46,302.0,10.0,0.3343578778564746,1.0,2022.0,0.5556666000399759
5439,0.165375,0.500625,0.38885,0.163375,0.198725,0.2376,0.3004,0.383925,0.414,0.429,0.455975,0.4317,0.0,4.5,Mtwara DC 01-11,2022-11-03 07:42:51,307.0,11.0,0.3148541974552139,1.0,2022.0,0.49649864720460185
5440,0.152825,0.5154,0.4111499999999999,0.16285,0.202325,0.23675,0.307775,0.3909999999999999,0.4364,0.4527,0.472325,0.445425,0.0,4.5,Mtwara DC 01-11,2022-11-08 07:42:46,312.0,11.0,0.33222860769312135,1.0,2022.0,0.527154940923738
5441,0.152975,0.474925,0.371975,0.152275,0.18455,0.2191499999999999,0.278425,0.35135,0.38205,0.39625,0.418975,0.3986,0.0,4.5,Mtwara DC 01-11,2022-11-13 07:42:50,317.0,11.0,0.3131439764936339,1.0,2022.0,0.45820912634716826
5442,0.146125,0.4852,0.4008,0.151625,0.188525,0.22835,0.287475,0.358425,0.395625,0.4149,0.43465,0.4061249999999999,0.0,4.5,Mtwara DC 01-11,2022-11-28 07:42:46,332.0,11.0,0.3111613876319758,1.0,2022.0,0.47224447750944265
5443,0.1601999999999999,0.417025,0.3354749999999999,0.162,0.184725,0.2152,0.261175,0.319025,0.3551999999999999,0.3579,0.388375,0.3637249999999999,0.0,4.5,Mtwara DC 01-11,2022-12-08 07:42:43,342.0,12.0,0.28691546203868623,1.0,2022.0,0.4062947235060885
5444,0.147525,0.414425,0.3243999999999999,0.150775,0.1762999999999999,0.1985,0.2538749999999999,0.333925,0.3657,0.3787,0.39835,0.38955,0.0,4.5,Mtwara DC 01-11,2022-10-04 07:42:54,277.0,10.0,0.3348412498952835,1.0,2022.0,0.4539569325822278
5445,0.1644749999999999,0.466175,0.364875,0.1663,0.190175,0.20945,0.280425,0.377125,0.41875,0.4453,0.4585249999999999,0.445225,0.0,4.5,Mtwara DC 01-11,2022-10-09 07:42:45,282.0,10.0,0.3728807215838915,1.0,2022.0,0.5441407786079433
5446,0.1512,0.0,0.359825,0.159525,0.18425,0.21155,0.273675,0.3498,0.3884499999999999,0.408,0.0,0.0,0.0,4.5,Mtwara DC 01-11,2022-10-19 07:42:46,292.0,10.0,-1.0,1.0,2022.0,-0.7747097813747391
5447,0.155825,0.50495,0.3905999999999999,0.165625,0.19545,0.2301,0.31125,0.405925,0.45235,0.4684,0.49585,0.464675,0.0,4.5,Mtwara DC 01-11,2022-10-29 07:42:46,302.0,10.0,0.3660720435291687,1.0,2022.0,0.5773659511601634
5448,0.164125,0.480775,0.37205,0.164375,0.19575,0.2279,0.297775,0.381125,0.4153,0.4367999999999999,0.4604749999999999,0.441475,0.0,4.5,Mtwara DC 01-11,2022-11-03 07:42:51,307.0,11.0,0.3378609043036135,1.0,2022.0,0.5197787462286287
5449,0.152075,0.505575,0.4012,0.16415,0.196825,0.23595,0.3105,0.4045999999999999,0.45135,0.4747,0.493725,0.471175,0.0,4.5,Mtwara DC 01-11,2022-11-08 07:42:46,312.0,11.0,0.35327371775105354,1.0,2022.0,0.5653952447797861
5450,0.15065,0.443575,0.354175,0.1538749999999999,0.18215,0.2115,0.270125,0.340725,0.3779,0.392,0.416025,0.404925,0.0,4.5,Mtwara DC 01-11,2022-11-13 07:42:50,317.0,11.0,0.3259232699892434,1.0,2022.0,0.46534777365702706
5451,0.14425,0.4482,0.3645,0.1518,0.180775,0.2038,0.2786,0.358375,0.39345,0.41215,0.432125,0.4152,0.0,4.5,Mtwara DC 01-11,2022-11-28 07:42:46,332.0,11.0,0.35904391241105477,1.0,2022.0,0.5067470093437201
5452,0.16945,0.450425,0.37235,0.1814,0.202175,0.2202,0.283925,0.34985,0.3892,0.4002,0.43235,0.4101999999999999,0.0,4.5,Mtwara DC 01-11,2022-12-08 07:42:43,342.0,12.0,0.32510918703547625,1.0,2022.0,0.4812621931854271
5453,0.1539,0.4887249999999999,0.3812,0.1699,0.2108,0.2474,0.31055,0.424,0.4775749999999999,0.5047999999999999,0.51295,0.42005,0.0,4.5,Mtwara DC 01-11,2022-10-29 07:42:46,302.0,10.0,0.3492470572762543,1.0,2022.0,0.581402986381749
5454,0.1682749999999999,0.4983499999999999,0.3838499999999999,0.1688,0.206125,0.2466,0.31435,0.4072249999999999,0.450275,0.4722,0.48985,0.4716,0.0,4.5,Mtwara DC 01-11,2022-11-03 07:42:51,307.0,11.0,0.33030076719397106,1.0,2022.0,0.542992990758516
5455,0.1565,0.49995,0.393125,0.1686249999999999,0.2099,0.24855,0.30885,0.420025,0.4745749999999999,0.5014,0.5135,0.4827,0.0,4.5,Mtwara DC 01-11,2022-11-08 07:42:46,312.0,11.0,0.3476805983859327,1.0,2022.0,0.5806868740000438
5456,0.152775,0.46315,0.3699,0.156375,0.187825,0.229175,0.28705,0.3682499999999999,0.402375,0.4361,0.43735,0.420425,0.0,4.5,Mtwara DC 01-11,2022-11-13 07:42:50,317.0,11.0,0.31232886988485054,1.0,2022.0,0.47589927646393193
5457,0.145925,0.45935,0.375575,0.15545,0.1894499999999999,0.2354,0.2865,0.375,0.418525,0.4620999999999999,0.46245,0.42415,0.0,4.5,Mtwara DC 01-11,2022-11-28 07:42:46,332.0,11.0,0.3253564519595902,1.0,2022.0,0.5116735025014649
5458,0.163675,0.46555,0.378625,0.168175,0.19805,0.2327499999999999,0.292,0.37425,0.419275,0.4403,0.4589,0.416475,0.0,4.5,Mtwara DC 01-11,2022-12-08 07:42:43,342.0,12.0,0.326971734258657,1.0,2022.0,0.5094501137617986
7061,0.202825,0.5124,0.40235,0.18865,0.2259,0.23115,0.317625,0.40275,0.447275,0.4483999999999999,0.4844,0.489775,0.0,4.75,Mtwara DC 01-11,2022-12-18 07:42:46,352.0,12.0,0.3539235553071064,1.0,2022.0,0.556507790010328
7501,0.148375,0.47175,0.36865,0.16125,0.186825,0.21635,0.2678,0.33825,0.364625,0.38175,0.4006,0.393525,0.0,4.0,Mtwara DC 01-11,2022-10-04 07:42:54,277.0,10.0,0.29864656779317617,0.0,2022.0,0.4280603117812421
7502,0.140625,0.368375,0.28275,0.147,0.1635,0.1675,0.21285,0.29955,0.3313,0.31585,0.354275,0.36145,0.0,4.0,Mtwara DC 01-11,2022-12-28 07:42:46,362.0,12.0,0.35796080686119497,0.0,2022.0,0.42332449400512223
7503,0.148075,0.46595,0.36965,0.15255,0.1851999999999999,0.2145,0.272775,0.342925,0.37115,0.3998,0.404275,0.39335,0.0,4.0,Mtwara DC 01-11,2022-10-04 07:42:54,277.0,10.0,0.30669467900286856,0.0,2022.0,0.438269324034087
7504,0.1202,0.534075,0.43715,0.151125,0.196625,0.235,0.3067249999999999,0.3939749999999999,0.430575,0.4391,0.4625,0.3708249999999999,0.0,4.0,Mtwara DC 01-11,2022-12-18 07:42:46,352.0,12.0,0.32616487455197135,0.0,2022.0,0.5123873873873874
7505,0.144275,0.3990249999999999,0.297675,0.15005,0.1808,0.174425,0.248675,0.37435,0.4187,0.4138,0.440225,0.39785,0.0,4.0,Mtwara DC 01-11,2022-12-28 07:42:46,362.0,12.0,0.43244122671439034,0.0,2022.0,0.5638104934932707
7506,0.1387,0.36155,0.280975,0.151975,0.1767,0.19165,0.2277,0.299775,0.33675,0.36255,0.35895,0.303925,0.0,4.0,Mtwara DC 01-11,2022-12-28 07:42:46,362.0,12.0,0.30385034507809666,0.0,2022.0,0.3903497515107679
7507,0.1439,0.4138,0.295375,0.1432999999999999,0.1641999999999999,0.1773499999999999,0.225625,0.2812,0.30985,0.3340499999999999,0.352875,0.3488,0.0,4.0,Mtwara DC 01-11,2022-10-04 07:42:54,277.0,10.0,0.3310387099816118,0.0,2022.0,0.4037470672125871
