,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CLD,SCL,Nanyamba_cluster,datetime,day of year,month,ndvi,target,year
5775,0.1667499999999999,0.41355,0.3182,0.14695,0.169725,0.173825,0.2397,0.292625,0.3243749999999999,0.3308999999999999,0.359975,0.360525,0.0,4.5,Nanyamba TC 05-12,2022-12-03 07:42:47,337.0,12.0,0.311209074248353,1.0,2022.0
5776,0.2007499999999999,0.504525,0.39405,0.1998,0.23375,0.2494,0.32265,0.417275,0.462975,0.4788,0.505125,0.508375,0.0,4.5,Nanyamba TC 05-12,2022-10-14 07:42:51,287.0,10.0,0.3150233452348256,1.0,2022.0
5777,0.1970249999999999,0.524625,0.4197249999999999,0.20945,0.2418499999999999,0.2639,0.3406,0.43415,0.48185,0.487,0.5243,0.51545,0.0,4.5,Nanyamba TC 05-12,2022-10-29 07:42:46,302.0,10.0,0.2971101345052603,1.0,2022.0
5778,0.170525,0.467775,0.3868749999999999,0.1829,0.217,0.2356,0.299275,0.381525,0.421925,0.4337,0.45595,0.44305,0.0,4.5,Nanyamba TC 05-12,2022-11-08 07:42:46,312.0,11.0,0.2959808755416105,1.0,2022.0
5779,0.1697,0.447575,0.369575,0.17115,0.200975,0.21835,0.276625,0.34305,0.371075,0.3898,0.409925,0.417275,0.0,4.5,Nanyamba TC 05-12,2022-11-13 07:42:50,317.0,11.0,0.2819205788045712,1.0,2022.0
5780,0.17625,0.430675,0.3679749999999999,0.1740749999999999,0.20495,0.2192,0.2789,0.33865,0.3672499999999999,0.3657499999999999,0.395275,0.40355,0.0,4.5,Nanyamba TC 05-12,2022-12-03 07:42:47,337.0,12.0,0.2505342336951875,1.0,2022.0
5781,0.1906999999999999,0.355225,0.277625,0.1966,0.21925,0.2139,0.262125,0.339775,0.3787,0.38165,0.40535,0.419175,0.0,4.5,Nanyamba TC 05-12,2022-10-19 07:42:46,292.0,10.0,0.2816724036604818,1.0,2022.0
5782,0.192375,0.497275,0.390825,0.192025,0.2205,0.24595,0.3022,0.376525,0.41275,0.4303,0.4539,0.458125,0.0,4.5,Nanyamba TC 05-12,2022-10-14 07:42:51,287.0,10.0,0.2726062846580406,1.0,2022.0
5783,0.194675,0.526575,0.43745,0.2040749999999999,0.2339999999999999,0.2659,0.31895,0.3877,0.42915,0.4382,0.471825,0.463225,0.0,4.5,Nanyamba TC 05-12,2022-10-29 07:42:46,302.0,10.0,0.2447095583013775,1.0,2022.0
5784,0.166375,0.46495,0.3939499999999999,0.179775,0.20555,0.2373,0.2865999999999999,0.3427,0.3764,0.3861,0.4081249999999999,0.407725,0.0,4.5,Nanyamba TC 05-12,2022-11-08 07:42:46,312.0,11.0,0.2386910490856592,1.0,2022.0
5785,0.166875,0.45915,0.375625,0.171675,0.204675,0.2311,0.281425,0.340325,0.37265,0.38335,0.40785,0.4090749999999999,0.0,4.5,Nanyamba TC 05-12,2022-11-13 07:42:50,317.0,11.0,0.2477825697778501,1.0,2022.0
5786,0.1626,0.461775,0.3915,0.1745999999999999,0.2054,0.232575,0.282225,0.34575,0.377375,0.39115,0.412275,0.40475,0.0,4.5,Nanyamba TC 05-12,2022-11-28 07:42:46,332.0,11.0,0.2542386468395526,1.0,2022.0
5787,0.165,0.4528,0.370975,0.171125,0.205175,0.2279,0.284,0.3413,0.3751,0.38275,0.408775,0.4037,0.0,4.5,Nanyamba TC 05-12,2022-12-03 07:42:47,337.0,12.0,0.2535822484238107,1.0,2022.0
5788,0.207025,0.531925,0.4406,0.2184999999999999,0.24825,0.2747,0.335375,0.406525,0.450875,0.4503,0.492325,0.48505,0.0,4.5,Nanyamba TC 05-12,2022-12-08 07:42:43,342.0,12.0,0.2422068965517241,1.0,2022.0
5789,0.191825,0.35405,0.271125,0.179625,0.1939,0.2028999999999999,0.2482749999999999,0.302625,0.3381,0.32735,0.3805,0.379675,0.0,4.5,Nanyamba TC 05-12,2022-11-03 07:42:51,307.0,11.0,0.2347006129184348,1.0,2022.0
